ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
28,4241,C,11,0,2,82,"TECAMAC",33,748,52,83,44,1,3,4,152,2,0,0,0,1,0,0,1,0,0,0,0,14,2,8,367,2017-06-04,21:05:37.122,21:07:30.707,cap-36,28-95,8552
28,4228,C,9,0,1,82,"TECAMAC",33,717,54,93,41,3,1,2,154,3,0,0,0,0,0,0,0,0,0,0,0,10,0,15,376,2017-06-04,21:08:25.525,21:07:21.202,cap-77,28-86,1778
6,580,B,1,0,1,20,"COACALCO DE BERRIOZABAL",38,511,24,81,51,3,8,0,98,1,2,4,0,0,0,0,0,0,0,0,0,5,0,9,286,2017-06-04,21:05:02.812,21:07:20.485,cap-49,6-68,3788
25,1282,B,1,0,1,32,"CHIMALHUACAN",3,608,6,109,52,4,4,4,81,1,1,1,0,0,1,0,0,0,1,0,0,2,0,7,274,2017-06-04,21:04:48.569,21:07:03.059,cap-5,25-37,9386
28,5893,B,1,0,2,121,"ZUMPANGO",20,474,35,120,38,1,7,2,59,3,0,0,0,0,0,0,0,0,0,0,0,9,0,8,282,2017-06-04,21:04:56.162,21:06:58.969,cap-38,28-13,8341
5,476,B,1,0,2,16,"AXAPUSCO",39,231,32,79,8,0,6,1,39,2,0,0,0,0,0,0,0,0,0,0,0,3,0,10,180,2017-06-04,21:04:32.749,21:06:55.245,cap-67,5-34,3677
38,4680,C,3,0,1,100,"TEXCOCO",23,611,4,51,36,2,2,3,152,1,1,0,0,1,1,0,0,0,0,0,0,1,0,13,268,2017-06-04,21:04:41.394,21:06:45.208,cap-39,38-39,1416
20,3259,B,1,0,1,60,"NEZAHUALCOYOTL",24,533,3,39,169,1,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,265,2017-06-04,21:04:30.795,21:06:43.209,cap-46,20-57,3426
23,5756,E,1,0,2,115,"VILLA VICTORIA",10,525,18,240,3,6,1,3,50,0,2,0,0,0,2,0,0,0,0,0,0,1,0,13,339,2017-06-04,21:03:17.412,21:06:38.469,cap-84,23-80,4513
14,251,B,1,0,1,13,"ATIZAPAN DE ZARAGOZA",16,667,41,69,30,2,9,2,115,8,0,0,1,0,0,1,0,0,0,0,0,9,0,8,295,2017-06-04,21:02:11.864,21:06:32.279,cap-51,14-25,6885
23,5751,C,2,0,2,115,"VILLA VICTORIA",10,612,28,303,16,6,1,2,39,2,4,0,0,0,0,0,0,0,0,0,0,3,0,14,418,2017-06-04,21:03:36.687,21:06:32.030,cap-14,23-84,4464
21,2754,C,1,0,1,58,"NAUCALPAN DE JUAREZ",29,430,108,43,29,3,0,0,84,0,0,0,0,0,2,0,0,0,0,0,0,13,0,5,287,2017-06-04,21:03:04.568,21:05:32.527,cap-12,21-11,3322
27,2480,C,5,0,1,55,"METEPEC",35,727,79,87,129,23,2,1,107,0,1,1,0,0,2,1,0,0,0,0,0,11,1,8,453,2017-06-04,21:02:48.729,21:05:25.347,cap-106,27-64,4307
18,2067,C,3,0,2,38,"HUIXQUILUCAN",17,720,118,164,25,6,1,5,77,4,1,1,0,0,0,0,0,0,0,0,0,12,0,35,449,2017-06-04,21:02:47.947,21:05:24.164,cap-62,18-49,7688
36,4285,C,2,0,2,123,"LUVIANOS",9,606,17,144,103,1,11,8,47,0,0,0,0,0,3,1,0,0,0,0,0,2,0,9,346,2017-06-04,21:03:08.664,21:05:13.485,cap-82,36-90,3845
32,2117,C,2,0,1,122,"VALLE DE CHALCO SOLIDARIDAD",27,577,8,57,59,2,4,3,68,4,1,1,0,0,1,1,2,0,1,0,0,5,0,6,223,2017-06-04,21:02:23.827,21:05:07.129,cap-75,32-9,1147
16,1513,B,1,0,1,34,"ECATEPEC DE MORELOS",21,749,23,122,53,2,3,5,126,2,0,0,0,0,1,0,0,0,1,0,0,5,2,14,359,2017-06-04,21:05:38.138,21:04:56.141,cap-96,16-12,9987
19,5026,C,1,0,1,105,"TLALNEPANTLA DE BAZ",18,484,20,63,21,1,2,3,103,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,227,2017-06-04,21:03:12.041,21:04:55.467,cap-100,19-44,4258
